frame,time_s,coarse_min,coarse_max,coarse_mean,coarse_nonzero_pct,fine_min,fine_max,fine_mean,fine_nonzero_pct,plume_inflow_avg,plume_mid_avg,plume_wake_avg,total_smoke_mass
92,1.5333,0.0000,1.0000,0.137056,65.74,0.0000,1.0000,0.137056,66.53,1.0000,0.4702,0.2887,2741.12
93,1.5500,0.0000,1.0000,0.137152,65.80,0.0000,1.0000,0.137152,66.53,1.0000,0.4697,0.2896,2743.04
94,1.5667,0.0000,1.0000,0.137262,65.88,0.0000,1.0000,0.137262,66.53,1.0000,0.4693,0.2905,2745.23
95,1.5833,0.0000,1.0000,0.137383,66.04,0.0000,1.0000,0.137383,66.55,1.0000,0.4690,0.2913,2747.66
96,1.6000,0.0000,1.0000,0.137516,66.14,0.0000,1.0000,0.137516,66.55,1.0000,0.4688,0.2921,2750.32
97,1.6167,0.0000,1.0000,0.137659,66.26,0.0000,1.0000,0.137659,66.55,1.0000,0.4689,0.2929,2753.18
98,1.6333,0.0000,1.0000,0.137810,66.38,0.0000,1.0000,0.137810,66.55,1.0000,0.4693,0.2936,2756.20
99,1.6500,0.0000,1.0000,0.137967,66.46,0.0000,1.0000,0.137967,66.55,1.0000,0.4700,0.2943,2759.33
100,1.6667,0.0000,1.0000,0.138127,66.52,0.0000,1.0000,0.138127,66.55,1.0000,0.4710,0.2950,2762.54
101,1.6833,0.0000,1.0000,0.138290,66.58,0.0000,1.0000,0.138290,66.55,1.0000,0.4724,0.2956,2765.80
102,1.7000,0.0000,1.0000,0.138454,66.64,0.0000,1.0000,0.138454,66.56,1.0000,0.4741,0.2962,2769.08
103,1.7167,0.0000,1.0000,0.138618,66.66,0.0000,1.0000,0.138618,66.57,1.0000,0.4760,0.2968,2772.37
104,1.7333,0.0000,1.0000,0.138784,66.66,0.0000,1.0000,0.138784,66.57,1.0000,0.4781,0.2974,2775.68
105,1.7500,0.0000,1.0000,0.138949,66.68,0.0000,1.0000,0.138949,66.59,1.0000,0.4804,0.2979,2778.99
106,1.7667,0.0000,1.0000,0.139114,66.68,0.0000,1.0000,0.139114,66.59,1.0000,0.4825,0.2984,2782.27
107,1.7833,0.0000,1.0000,0.139275,66.66,0.0000,1.0000,0.139275,66.59,1.0000,0.4846,0.2989,2785.49
108,1.8000,0.0000,1.0000,0.139430,66.66,0.0000,1.0000,0.139430,66.59,1.0000,0.4863,0.2993,2788.61
109,1.8167,0.0000,1.0000,0.139579,66.68,0.0000,1.0000,0.139579,66.59,1.0000,0.4878,0.2997,2791.58
110,1.8333,0.0000,1.0000,0.139718,66.68,0.0000,1.0000,0.139718,66.59,1.0000,0.4889,0.3001,2794.35
111,1.8500,0.0000,1.0000,0.139845,66.68,0.0000,1.0000,0.139845,66.59,1.0000,0.4897,0.3004,2796.89
112,1.8667,0.0000,1.0000,0.139958,66.68,0.0000,1.0000,0.139958,66.59,1.0000,0.4902,0.3008,2799.17
113,1.8833,0.0000,1.0000,0.140057,66.70,0.0000,1.0000,0.140057,66.59,1.0000,0.4906,0.3010,2801.15
114,1.9000,0.0000,1.0000,0.140141,66.70,0.0000,1.0000,0.140141,66.59,1.0000,0.4910,0.3013,2802.82
115,1.9167,0.0000,1.0000,0.140209,66.70,0.0000,1.0000,0.140209,66.61,1.0000,0.4914,0.3016,2804.18
116,1.9333,0.0000,1.0000,0.140262,66.70,0.0000,1.0000,0.140262,66.61,1.0000,0.4920,0.3018,2805.23
117,1.9500,0.0000,1.0000,0.140299,66.70,0.0000,1.0000,0.140299,66.61,1.0000,0.4928,0.3020,2805.98
118,1.9667,0.0000,1.0000,0.140322,66.72,0.0000,1.0000,0.140322,66.62,1.0000,0.4938,0.3022,2806.43
119,1.9833,0.0000,1.0000,0.140332,66.72,0.0000,1.0000,0.140332,66.62,1.0000,0.4952,0.3024,2806.63
120,2.0000,0.0000,1.0000,0.140331,66.72,0.0000,1.0000,0.140331,66.62,1.0000,0.4969,0.3026,2806.63
121,2.0167,0.0000,1.0000,0.140323,66.72,0.0000,1.0000,0.140323,66.62,1.0000,0.4989,0.3027,2806.46
122,2.0333,0.0000,1.0000,0.140308,66.72,0.0000,1.0000,0.140308,66.62,1.0000,0.5012,0.3028,2806.16
123,2.0500,0.0000,1.0000,0.140287,66.72,0.0000,1.0000,0.140287,66.63,1.0000,0.5038,0.3029,2805.75
124,2.0667,0.0000,1.0000,0.140262,66.76,0.0000,1.0000,0.140262,66.64,1.0000,0.5066,0.3029,2805.24
125,2.0833,0.0000,1.0000,0.140234,66.74,0.0000,1.0000,0.140234,66.64,1.0000,0.5095,0.3029,2804.68
126,2.1000,0.0000,1.0000,0.140205,66.74,0.0000,1.0000,0.140205,66.64,1.0000,0.5126,0.3029,2804.10
127,2.1167,0.0000,1.0000,0.140180,66.76,0.0000,1.0000,0.140179,66.64,1.0000,0.5155,0.3029,2803.59
128,2.1333,0.0000,1.0000,0.140160,66.76,0.0000,1.0000,0.140160,66.64,1.0000,0.5183,0.3029,2803.20
129,2.1500,0.0000,1.0000,0.140150,66.76,0.0000,1.0000,0.140150,66.65,1.0000,0.5209,0.3029,2803.01
130,2.1667,0.0000,1.0000,0.140153,66.80,0.0000,1.0000,0.140153,66.66,1.0000,0.5231,0.3029,2803.06
131,2.1833,0.0000,1.0000,0.140170,66.82,0.0000,1.0000,0.140170,66.66,1.0000,0.5250,0.3029,2803.39
132,2.2000,0.0000,1.0000,0.140202,66.84,0.0000,1.0000,0.140202,66.66,1.0000,0.5267,0.3029,2804.05
133,2.2167,0.0000,1.0000,0.140251,66.86,0.0000,1.0000,0.140251,66.66,1.0000,0.5282,0.3029,2805.03
134,2.2333,0.0000,1.0000,0.140317,66.88,0.0000,1.0000,0.140317,66.66,1.0000,0.5295,0.3029,2806.35
135,2.2500,0.0000,1.0000,0.140401,66.88,0.0000,1.0000,0.140401,66.66,1.0000,0.5309,0.3029,2808.02
136,2.2667,0.0000,1.0000,0.140503,66.88,0.0000,1.0000,0.140503,66.66,1.0000,0.5324,0.3028,2810.06
137,2.2833,0.0000,1.0000,0.140624,66.88,0.0000,1.0000,0.140624,66.67,1.0000,0.5341,0.3028,2812.47
138,2.3000,0.0000,1.0000,0.140760,66.88,0.0000,1.0000,0.140760,66.68,1.0000,0.5361,0.3028,2815.21
139,2.3167,0.0000,1.0000,0.140911,66.90,0.0000,1.0000,0.140911,66.68,1.0000,0.5383,0.3027,2818.23
140,2.3333,0.0000,1.0000,0.141074,66.90,0.0000,1.0000,0.141074,66.68,1.0000,0.5409,0.3027,2821.48
141,2.3500,0.0000,1.0000,0.141246,66.90,0.0000,1.0000,0.141246,66.69,1.0000,0.5438,0.3027,2824.92
142,2.3667,0.0000,1.0000,0.141423,66.88,0.0000,1.0000,0.141423,66.69,1.0000,0.5470,0.3026,2828.47
143,2.3833,0.0000,1.0000,0.141604,66.90,0.0000,1.0000,0.141604,66.69,1.0000,0.5504,0.3026,2832.08
144,2.4000,0.0000,1.0000,0.141786,66.90,0.0000,1.0000,0.141786,66.70,1.0000,0.5541,0.3025,2835.72
145,2.4167,0.0000,1.0000,0.141967,66.90,0.0000,1.0000,0.141967,66.70,1.0000,0.5580,0.3024,2839.34
146,2.4333,0.0000,1.0000,0.142145,66.90,0.0000,1.0000,0.142145,66.70,1.0000,0.5620,0.3024,2842.91
147,2.4500,0.0000,1.0000,0.142320,66.90,0.0000,1.0000,0.142320,66.70,1.0000,0.5661,0.3023,2846.40
148,2.4667,0.0000,1.0000,0.142490,66.90,0.0000,1.0000,0.142490,66.70,1.0000,0.5700,0.3022,2849.80
149,2.4833,0.0000,1.0000,0.142656,66.94,0.0000,1.0000,0.142656,66.70,1.0000,0.5738,0.3021,2853.12
150,2.5000,0.0000,1.0000,0.142817,66.94,0.0000,1.0000,0.142816,66.71,1.0000,0.5774,0.3020,2856.33
151,2.5167,0.0000,1.0000,0.142971,66.92,0.0000,1.0000,0.142971,66.71,1.0000,0.5807,0.3019,2859.42
